Rank,Team,ADJ EPA Per Play
1,NE ( 2007 ),0.217
2,KC ( 2018 ),0.194
3,NE ( 2017 ),0.192
4,BAL ( 2019 ),0.189
5,LAC ( 2006 ),0.184
6,ATL ( 2016 ),0.183
7,NE ( 2011 ),0.179
8,IND ( 2003 ),0.177
9,IND ( 2004 ),0.174
10,NO ( 2011 ),0.168
11,LA ( 1999 ),0.164
12,IND ( 2006 ),0.163
13,NE ( 2010 ),0.162
14,KC ( 2022 ),0.162
15,KC ( 2019 ),0.16
16,GB ( 2011 ),0.157
17,LA ( 2000 ),0.156
18,SF ( 2023 ),0.156
19,KC ( 2003 ),0.151
20,LAC ( 2009 ),0.151
21,KC ( 2021 ),0.147
22,NO ( 2009 ),0.14
23,NO ( 2017 ),0.139
24,BAL ( 2024 ),0.139
25,NE ( 2014 ),0.137
26,IND ( 2000 ),0.136
27,IND ( 2007 ),0.136
28,NE ( 2012 ),0.135
29,LAC ( 2005 ),0.134
30,NE ( 2004 ),0.133
31,NE ( 2006 ),0.133
32,DAL ( 2014 ),0.133
33,DEN ( 2013 ),0.132
34,GB ( 2014 ),0.131
35,PHI ( 2017 ),0.131
36,MIA ( 2023 ),0.131
37,BUF ( 2023 ),0.13
38,KC ( 2002 ),0.128
39,LAC ( 2008 ),0.128
40,DAL ( 2007 ),0.125
41,MIN ( 2004 ),0.124
42,PIT ( 2014 ),0.123
43,KC ( 2004 ),0.122
44,JAX ( 2001 ),0.121
45,IND ( 2005 ),0.121
46,IND ( 2009 ),0.121
47,LAC ( 2004 ),0.12
48,NO ( 2018 ),0.12
49,CIN ( 2006 ),0.119
50,NO ( 2014 ),0.117
51,DET ( 2024 ),0.117
52,JAX ( 2007 ),0.116
53,GB ( 2007 ),0.116
54,KC ( 2017 ),0.116
55,PIT ( 2017 ),0.116
56,LA ( 2018 ),0.116
57,GB ( 2020 ),0.116
58,WAS ( 1999 ),0.115
59,BUF ( 2024 ),0.114
60,CIN ( 2005 ),0.113
61,LAC ( 2013 ),0.113
62,GB ( 2016 ),0.113
63,DAL ( 2023 ),0.113
64,GB ( 2023 ),0.113
65,SEA ( 2005 ),0.11
66,GB ( 2010 ),0.109
67,ARI ( 2015 ),0.109
68,DAL ( 2019 ),0.109
69,BUF ( 2025 ),0.109
70,IND ( 1999 ),0.106
71,MIN ( 2009 ),0.106
72,BAL ( 2023 ),0.106
73,SEA ( 2003 ),0.105
74,MIN ( 2000 ),0.104
75,ATL ( 2017 ),0.104
76,KC ( 2020 ),0.104
77,BUF ( 2021 ),0.104
78,LV ( 2000 ),0.102
79,TB ( 2021 ),0.101
80,BUF ( 2022 ),0.101
81,IND ( 2025 ),0.101
82,LA ( 2025 ),0.101
83,DET ( 2023 ),0.1
84,TEN ( 1999 ),0.099
85,BUF ( 2020 ),0.099
86,WAS ( 2024 ),0.099
87,LV ( 2001 ),0.098
88,TEN ( 2003 ),0.098
89,SEA ( 2012 ),0.098
90,SEA ( 2015 ),0.098
91,BAL ( 2014 ),0.097
92,DAL ( 2016 ),0.097
93,DAL ( 2006 ),0.096
94,LA ( 2017 ),0.096
95,GB ( 2003 ),0.095
96,GB ( 2009 ),0.095
97,LAC ( 2010 ),0.095
98,DEN ( 2014 ),0.095
99,SF ( 2019 ),0.095
100,MIN ( 2003 ),0.094
101,PIT ( 2007 ),0.094
102,NYG ( 2008 ),0.094
103,MIN ( 1999 ),0.093
104,SF ( 2001 ),0.093
105,SF ( 2012 ),0.093
106,NYJ ( 2002 ),0.092
107,PHI ( 2022 ),0.092
108,PHI ( 2023 ),0.092
109,NE ( 2016 ),0.091
110,SEA ( 2014 ),0.09
111,GB ( 2021 ),0.09
112,PIT ( 2005 ),0.088
113,NYG ( 2011 ),0.088
114,WAS ( 2016 ),0.088
115,LA ( 2006 ),0.087
116,LAC ( 2017 ),0.087
117,KC ( 2005 ),0.086
118,IND ( 2008 ),0.086
119,LV ( 1999 ),0.085
120,LAC ( 2011 ),0.085
121,PHI ( 2006 ),0.084
122,LA ( 2001 ),0.083
123,CIN ( 2015 ),0.083
124,CAR ( 1999 ),0.082
125,NE ( 2013 ),0.081
126,CIN ( 2022 ),0.081
127,GB ( 2004 ),0.079
128,NYJ ( 2006 ),0.079
129,GB ( 2012 ),0.079
130,CIN ( 2024 ),0.079
131,NE ( 2015 ),0.078
132,SF ( 2022 ),0.078
133,KC ( 2023 ),0.078
134,CIN ( 2003 ),0.077
135,NO ( 2006 ),0.077
136,KC ( 2014 ),0.077
137,NO ( 2015 ),0.076
138,TEN ( 2020 ),0.076
139,NE ( 2021 ),0.076
140,SF ( 2000 ),0.075
141,PIT ( 2016 ),0.075
142,LAC ( 2018 ),0.075
143,JAX ( 1999 ),0.074
